muni,municode,uf,party,male,occ,edu,yob,votes,elected,valid.votes,coal.votes,pctVV,treat,lat,long,ran.prior,incumbent,log.valid.votes,prior.pctVV,party.prior.pctVV,elec.year,log.total.assets,gini_2000,pt_pres_1998,income_2000,psdb_2000,pt_2000,hdi_2000,time.since.app,num.apps,log.num.apps,edu.scale,match.party,uf.ba,uf.sp,uf.mg,uf.rs,match.num.apps,match.time.since.app
NOVA MAMORE,434.0,RO,PV,1.0,Education,Some Superior or More,1977.0,211,0.0,7708.0,2643.0,2.7374156720290608,0.0,-10.4125,-65.32777777777777,0.0,0.0,8.950014029534257,0.0,0.0,2004.0,0.0,0.6949999928474426,0.06321674311926606,132.46200561523438,0.0,0.0,0.6589999794960022,3841.0,2,0.6931471805599453,3.0,PV,0.0,0.0,0.0,0.0,medium,highest
NOVO HORIZONTE DO OESTE,515.0,RO,PSC,1.0,White collar,Less than Primary,1964.0,91,0.0,5796.0,1180.0,1.570048309178744,0.0,-11.712499999999999,-62.00111111111111,1.0,0.0,8.664923303440572,1.8793103448275863,0.0,2004.0,0.0,0.6449999809265137,0.10528292438657987,210.71400451660156,0.0,0.09087586794981119,0.7070000171661377,2496.0,1,0.0,1.0,PSC,0.0,0.0,0.0,0.0,low,low
CHUPINGUAIA,809.0,RO,PMDB,1.0,Media,Less than Primary,1968.0,38,0.0,6957.0,1206.0,0.85,1.0,-12.55888888888889,-60.905277777777776,0.0,0.0,8.847503625923641,0.0,0.48470160557406844,2008.0,0.0,0.5720000267028809,0.11481922924116011,164.9739990234375,0.0,0.010641532380662816,0.7070000171661377,2926.0,1,0.0,1.0,PMDB,0.0,0.0,0.0,0.0,low,low
MIRANTE DA SERRA,574.0,RO,PDT,1.0,Blue collar,Less than Primary,1967.0,120,0.0,17661.0,577.0,1.62,1.0,-11.029722222222222,-62.675,0.0,0.0,9.779114097696372,0.0,9.593644974029942,2008.0,9.61587214452889,0.5580000281333923,0.1397163120567376,176.58399963378906,0.0,0.43026532049776944,0.6909999847412109,3580.0,1,0.0,1.0,PDT,0.0,0.0,0.0,0.0,low,high
PIMENTEIRAS DO OESTE,787.0,RO,PT,0.0,Education,Some Superior or More,1961.0,21,0.0,1616.0,116.0,1.2995049504950495,0.0,-13.48861111111111,-61.05611111111111,0.0,0.0,7.38770923908104,0.0,9.802158273381295,2004.0,0.0,0.5519999861717224,0.04257528556593977,135.18499755859375,0.32279757901815737,0.0,0.7149999737739563,2496.0,1,0.0,3.0,PT,0.0,0.0,0.0,0.0,low,low
URUPÁ,566.0,RO,PV,1.0,Other,"More than Primary, Less than Superior",1973.0,206,1.0,17756.0,1227.0,2.84,0.0,-11.131111111111112,-62.36611111111111,1.0,0.0,9.784478765953926,2.3706551337498,0.0,2008.0,10.463131911491967,0.5889999866485596,0.12923039865108996,128.29200744628906,0.17293319535472002,0.10750833620788777,0.6710000038146973,1981.0,2,0.6931471805599453,2.0,PV,0.0,0.0,0.0,0.0,medium,lowest
URUPA,566.0,RO,PSDB,1.0,Blue collar,"More than Primary, Less than Superior",1973.0,148,0.0,6243.0,1294.0,2.3706551337498,0.0,-11.131111111111112,-62.36611111111111,0.0,0.0,8.739216115061744,0.0,11.735817104149026,2004.0,0.0,0.5889999866485596,0.12923039865108996,128.29200744628906,0.17293319535472002,0.10750833620788777,0.6710000038146973,1981.0,2,0.6931471805599453,2.0,PSDB,0.0,0.0,0.0,0.0,medium,lowest
VALE DO ANARI,698.0,RO,PSDB,1.0,Education,Some Superior or More,1953.0,51,0.0,3804.0,1440.0,1.3406940063091484,0.0,-9.836388888888889,-62.166666666666664,1.0,1.0,8.24380842366528,3.088512241054614,7.68361581920904,2004.0,0.0,0.628000020980835,0.12104575163398693,227.26699829101562,0.0,0.20116476583353554,0.6880000233650208,3841.0,2,0.6931471805599453,3.0,PSDB,0.0,0.0,0.0,0.0,medium,highest
ACRELÂNDIA,1120.0,AC,PV,1.0,Agriculture,Less than Primary,1940.0,24,0.0,21136.0,1714.0,0.33,0.0,-10.07611111111111,-67.05805555555555,0.0,0.0,9.958733026762106,0.0,0.6710044733631557,2008.0,11.002116507732017,0.6370000243186951,0.10698610095098757,136.53900146484375,0.3383681096231704,0.16972905636873248,0.6800000071525574,1181.0,2,0.6931471805599453,1.0,PV,0.0,0.0,0.0,0.0,medium,lowest
SENA MADUREIRA,1457.0,AC,PFL,1.0,Blue collar,Less than Primary,1974.0,675,1.0,12987.0,3900.0,5.197505197505198,0.0,-9.060555555555556,-68.66388888888889,0.0,0.0,9.471704136110091,0.0,30.083848564410943,2004.0,0.0,0.6150000095367432,0.07408079342041606,107.64399719238281,0.0,0.0,0.6520000100135803,3580.0,2,0.6931471805599453,1.0,PFL,0.0,0.0,0.0,0.0,medium,high
SENA MADUREIRA,1457.0,AC,PMN,1.0,Politician,"More than Primary, Less than Superior",1974.0,457,0.0,51934.0,6790.0,2.49,0.0,-9.060555555555556,-68.66388888888889,1.0,1.0,10.857728960638758,5.197505197505198,10.98021098021098,2008.0,7.601402334583733,0.6150000095367432,0.07408079342041606,107.64399719238281,0.0,0.0,0.6520000100135803,3580.0,2,0.6931471805599453,2.0,PMN,0.0,0.0,0.0,0.0,medium,high
PORTO ACRE,1023.0,AC,PSB,1.0,Agriculture,"More than Primary, Less than Superior",1969.0,73,0.0,22714.0,477.0,0.91,0.0,-9.725,-67.70111111111112,0.0,0.0,10.030736753451592,0.0,12.268565615462869,2008.0,9.741027444837728,0.5659999847412109,0.15707154742096505,110.63400268554688,0.0,0.0,0.6629999876022339,573.0,1,0.0,2.0,PSB,0.0,0.0,0.0,0.0,low,lowest
ANORI,2038.0,AM,PPS,0.0,Education,"More than Primary, Less than Superior",1963.0,60,0.0,5501.0,1867.0,1.0907107798582076,0.0,-3.743888888888889,-61.65861111111111,0.0,0.0,8.612685172875459,0.0,0.0,2004.0,0.0,0.5920000076293945,0.05635509771246781,91.11900329589844,0.3022738114167594,0.0,0.6340000033378601,1981.0,2,0.6931471805599453,2.0,PPS,0.0,0.0,0.0,0.0,medium,lowest
CAAPIRANGA,2992.0,AM,PTB,1.0,Education,Some Superior or More,1958.0,34,0.0,11754.0,648.0,0.67,0.0,-3.328888888888889,-61.21805555555556,0.0,0.0,9.371948887172596,0.0,28.25178264076715,2008.0,9.210440366976517,0.546999990940094,0.045722414143466776,78.01599884033203,0.0,0.0,0.6240000128746033,1181.0,2,0.6931471805599453,3.0,PTB,0.0,0.0,0.0,0.0,medium,lowest
CAREIRO,2232.0,AM,PT,1.0,White collar,Less than Primary,1966.0,72,0.0,9907.0,935.0,0.7267588573735743,0.0,-3.7680555555555557,-60.369166666666665,1.0,0.0,9.20099685697303,0.40143213626993596,1.7467722686340459,2004.0,0.0,0.6600000262260437,0.0639180494412462,72.41100311279297,0.0,0.014640039798166441,0.6299999952316284,3755.0,2,0.6931471805599453,1.0,PT,0.0,0.0,0.0,0.0,medium,high
GUAJARÁ,2020.0,AM,PFL,1.0,Education,Some Superior or More,1968.0,274,1.0,15773.0,6472.0,5.07,0.0,-7.5424999999999995,-72.57583333333334,0.0,0.0,9.666054896487474,0.0,21.611570247933884,2008.0,10.203629181337648,0.6710000038146973,0.04657955418908532,36.95600128173828,0.0,0.0,0.5040000081062317,2853.0,1,0.0,3.0,PFL,0.0,0.0,0.0,0.0,low,low
MANACAPURU,2534.0,AM,PSC,1.0,Other,"More than Primary, Less than Superior",1963.0,691,0.0,120401.0,8268.0,1.61,0.0,-3.2969444444444442,-60.621944444444445,1.0,1.0,11.698583117470207,2.1942501942501944,0.0,2008.0,11.863589378812122,0.5899999737739563,0.06325493500855486,101.23300170898438,0.0,0.0,0.6629999876022339,1181.0,2,0.6931471805599453,2.0,PSC,0.0,0.0,0.0,0.0,medium,lowest
MANAUS,2550.0,AM,PFL,1.0,Government,Some Superior or More,1975.0,1398,0.0,706270.0,57466.0,0.19794129723760034,0.0,-3.0847222222222226,-59.97888888888889,1.0,0.0,13.467752879625895,0.14130972373949008,5.949320535745019,2004.0,0.0,0.6389999985694885,0.19764921394248203,262.3970031738281,0.018233071590498407,0.0,0.7739999890327454,3481.0,4,1.3862943611198906,3.0,PFL,0.0,0.0,0.0,0.0,high,high
MANAUS,2550.0,AM,PT,1.0,Blue collar,Some Superior or More,1966.0,1373,0.0,2470041.0,37641.0,0.16,1.0,-3.0419444444444443,-59.95583333333334,0.0,0.0,14.719745307656678,0.0,4.874481430614354,2008.0,11.918397239722838,0.6389999985694885,0.19764921394248203,262.3970031738281,0.018233071590498407,0.0,0.7739999890327454,3888.0,6,1.791759469228055,3.0,PT,0.0,0.0,0.0,0.0,high,highest
MANAUS,2550.0,AM,PSDB,1.0,Other,Some Superior or More,1968.0,461,0.0,2470041.0,36778.0,0.05,0.0,-3.14,-59.99305555555556,1.0,0.0,14.719745307656678,0.0890594248658445,3.6010307672703075,2008.0,10.596659732783579,0.6389999985694885,0.19764921394248203,262.3970031738281,0.018233071590498407,0.0,0.7739999890327454,771.0,13,2.5649493574615367,3.0,PSDB,0.0,0.0,0.0,0.0,high,lowest
MANAUS,2550.0,AM,PHS,1.0,Government,Some Superior or More,1958.0,1444,0.0,2470041.0,41958.0,0.17,0.0,-3.107222222222222,-60.06027777777778,1.0,0.0,14.719745307656678,0.11454542880201624,3.485635805003752,2008.0,13.541075028051122,0.6389999985694885,0.19764921394248203,262.3970031738281,0.018233071590498407,0.0,0.7739999890327454,771.0,13,2.5649493574615367,3.0,minor party,0.0,0.0,0.0,0.0,high,lowest
MANAUS,2550.0,AM,PDT,1.0,Other,"More than Primary, Less than Superior",1950.0,74,0.0,2470041.0,29747.0,0.01,0.0,-3.0191666666666666,-59.9175,0.0,0.0,14.719745307656678,0.0,4.120662069746698,2008.0,0.0,0.6389999985694885,0.19764921394248203,262.3970031738281,0.018233071590498407,0.0,0.7739999890327454,771.0,13,2.5649493574615367,2.0,PDT,0.0,0.0,0.0,0.0,high,lowest
MAUÉS,2615.0,AM,PHS,1.0,Government,Some Superior or More,1962.0,380,0.0,41037.0,3649.0,1.88,0.0,-3.5455555555555556,-57.69166666666666,0.0,0.0,10.622229377757554,0.0,0.0,2008.0,0.0,0.6690000295639038,0.19392940530146957,96.11100006103516,0.0,0.0,0.6890000104904175,573.0,1,0.0,3.0,minor party,0.0,0.0,0.0,0.0,low,lowest
PRESIDENTE FIGUEIREDO,98418.0,AM,PL,1.0,White collar,"More than Primary, Less than Superior",1954.0,396,1.0,9814.0,1958.0,4.035051966578358,0.0,-1.7794444444444444,-60.07138888888889,0.0,0.0,9.191565216649849,0.0,7.071776413296633,2004.0,0.0,0.6359999775886536,0.10432861467964978,188.2270050048828,0.0,0.017171966149042806,0.7409999966621399,3481.0,1,0.0,2.0,PL,0.0,0.0,0.0,0.0,low,high
PRESIDENTE FIGUEIREDO,98418.0,AM,PP,0.0,Education,Some Superior or More,1958.0,311,0.0,9814.0,1130.0,3.1689423272875485,0.0,-2.051111111111111,-60.02472222222222,1.0,1.0,9.191565216649849,3.3029853906415414,0.19055684946008894,2004.0,0.0,0.6359999775886536,0.10432861467964978,188.2270050048828,0.0,0.017171966149042806,0.7409999966621399,3841.0,1,0.0,3.0,PP,0.0,0.0,0.0,0.0,low,highest
SANTO ANTONIO DO ICA,2739.0,AM,PTB,1.0,Education,Some Superior or More,1966.0,217,1.0,5652.0,1140.0,3.8393489030431707,1.0,-3.102222222222222,-67.93972222222223,1.0,0.0,8.639764743804419,2.265509210247724,3.451196273554944,2004.0,0.0,0.6890000104904175,0.03775776938716236,46.48699951171875,0.0,0.0,0.5249999761581421,3481.0,2,0.6931471805599453,3.0,PTB,0.0,0.0,0.0,0.0,medium,high
SANTO ANTÔNIO DO IÇÁ,2739.0,AM,PTB,1.0,Education,Some Superior or More,1966.0,153,0.0,15764.0,1546.0,1.87,1.0,-3.102222222222222,-67.93972222222223,1.0,1.0,9.665484138314895,3.8393489030431707,3.8393489030431707,2008.0,11.264476926102367,0.6890000104904175,0.03775776938716236,46.48699951171875,0.0,0.0,0.5249999761581421,3481.0,2,0.6931471805599453,3.0,PTB,0.0,0.0,0.0,0.0,medium,high
UARINI,98493.0,AM,PSB,1.0,Agriculture,"More than Primary, Less than Superior",1963.0,20,0.0,4120.0,529.0,0.48543689320388345,0.0,-2.9922222222222223,-65.11027777777777,1.0,0.0,8.323608442343572,0.8023106546854942,0.0,2004.0,0.0,0.5490000247955322,0.018287373004354138,72.81900024414062,0.28397839783978396,0.0,0.5989999771118164,1981.0,1,0.0,2.0,PSB,0.0,0.0,0.0,0.0,low,lowest
URUCURITUBA,2879.0,AM,PHS,1.0,Politician,Less than Primary,1957.0,88,0.0,23836.0,10524.0,1.07,0.0,-3.1302777777777777,-58.15611111111111,1.0,1.0,10.07895232186687,4.257142857142857,13.457142857142857,2008.0,8.764209507142004,0.6269999742507935,0.2632696390658174,64.69499969482422,0.0,0.15471339309970117,0.6629999876022339,1981.0,1,0.0,1.0,minor party,0.0,0.0,0.0,0.0,low,lowest
URUCURITUBA,2879.0,AM,PHS,1.0,Other,Less than Primary,1957.0,298,1.0,7000.0,1714.0,4.257142857142857,0.0,-3.1302777777777777,-58.15611111111111,1.0,0.0,8.85366542803745,3.4469908701322898,0.0,2004.0,0.0,0.6269999742507935,0.2632696390658174,64.69499969482422,0.0,0.15471339309970117,0.6629999876022339,1981.0,1,0.0,1.0,minor party,0.0,0.0,0.0,0.0,low,lowest
CAROEBE,3000.0,RR,PR,1.0,Government,"More than Primary, Less than Superior",1979.0,104,0.0,12584.0,5112.0,2.39,0.0,0.88,-59.69888888888889,0.0,0.0,9.440181444738114,0.0,23.452768729641697,2008.0,8.987321812850125,0.7020000219345093,0.09301643192488263,138.18800354003906,0.0,0.0,0.6610000133514404,1981.0,2,0.6931471805599453,2.0,minor party,0.0,0.0,0.0,0.0,medium,lowest
IRACEMA,3026.0,RR,PSB,1.0,Other,"More than Primary, Less than Superior",1952.0,31,0.0,3113.0,814.0,0.9958239640218438,1.0,2.1694444444444443,-61.0575,0.0,0.0,8.043342170441608,0.0,0.0,2004.0,0.0,0.5820000171661377,0.044349680170575695,159.13499450683594,0.25738056897477185,0.0,0.7129999995231628,3755.0,1,0.0,2.0,PSB,0.0,0.0,0.0,0.0,low,high
MUCAJAI,3093.0,RR,PTC,1.0,Education,"More than Primary, Less than Superior",1978.0,485,1.0,6351.0,1584.0,7.6365926625728235,1.0,2.4433333333333334,-60.91972222222222,0.0,0.0,8.756367559802975,0.0,0.0,2004.0,0.0,0.5889999866485596,0.07646559048428207,170.88600158691406,0.0,0.0,0.7260000109672546,3003.0,1,0.0,2.0,minor party,0.0,0.0,0.0,0.0,low,low
AGUA AZUL DO NORTE,4260.0,PA,PFL,1.0,White collar,Less than Primary,1952.0,93,0.0,4762.0,756.0,1.9529609407811843,0.0,-6.806666666666667,-50.48388888888889,1.0,1.0,8.468423027046809,5.428978284086863,8.93556425774297,2004.0,0.0,0.652999997138977,0.06487025948103792,135.96099853515625,0.0,0.0,0.6650000214576721,2874.0,1,0.0,1.0,PFL,0.0,0.0,0.0,0.0,low,low
ÁGUA AZUL DO NORTE,4260.0,PA,PMDB,1.0,Agriculture,Less than Primary,1952.0,136,0.0,20382.0,1791.0,1.89,0.0,-6.806666666666667,-50.48388888888889,1.0,0.0,9.922407437388639,1.9529609407811843,17.49265014699706,2008.0,13.3374763699232,0.652999997138977,0.06487025948103792,135.96099853515625,0.0,0.0,0.6650000214576721,2874.0,1,0.0,1.0,PMDB,0.0,0.0,0.0,0.0,low,low
ANANINDEUA,4154.0,PA,PDT,1.0,White collar,Some Superior or More,1961.0,466,0.0,532466.0,12494.0,0.25,1.0,-0.7,-47.69833333333333,0.0,0.0,13.185274324761975,0.0,5.949274126919597,2008.0,0.0,0.5400000214576721,0.2736584690628893,187.79400634765625,0.6538615046896827,0.1126664195911851,0.7820000052452087,2853.0,3,1.0986122886681098,3.0,PDT,0.0,0.0,0.0,0.0,medium,low
ANANINDEUA,4154.0,PA,PMDB,1.0,White collar,"More than Primary, Less than Superior",1957.0,592,0.0,532466.0,31523.0,0.32,0.0,-1.3622222222222222,-48.40361111111111,0.0,0.0,13.185274324761975,0.0,16.59082265615779,2008.0,10.571342565808699,0.5400000214576721,0.2736584690628893,187.79400634765625,0.6538615046896827,0.1126664195911851,0.7820000052452087,1342.0,16,2.772588722239781,2.0,PMDB,0.0,0.0,0.0,0.0,high,lowest
ANANINDEUA,4154.0,PA,PSDB,1.0,White collar,Some Superior or More,1953.0,559,0.0,532466.0,9583.0,0.3,0.0,-0.9383333333333334,-48.56944444444445,1.0,1.0,13.185274324761975,3.0844364477573576,9.972066672786644,2008.0,10.799595985047786,0.5400000214576721,0.2736584690628893,187.79400634765625,0.6538615046896827,0.1126664195911851,0.7820000052452087,1981.0,6,1.791759469228055,3.0,PSDB,0.0,0.0,0.0,0.0,high,lowest
AUGUSTO CORRÊA,4170.0,PA,PT,1.0,Agriculture,Less than Primary,1960.0,435,1.0,42243.0,6476.0,2.06,0.0,-1.031388888888889,-46.641666666666666,1.0,0.0,10.651193938585422,1.542654674298174,6.906514036522213,2008.0,9.692828247710418,0.49399998784065247,0.03513938963083329,69.31099700927734,0.34835372525614244,0.0,0.6179999709129333,1342.0,2,0.6931471805599453,1.0,PT,0.0,0.0,0.0,0.0,medium,lowest
AVEIRO,4197.0,PA,PSDB,0.0,Government,Some Superior or More,1963.0,93,0.0,20589.0,2110.0,1.3,0.0,-3.39,-55.344722222222224,0.0,0.0,9.932512231576744,0.0,29.305816135084427,2008.0,9.90353755128617,0.6430000066757202,0.15193370165745856,56.222999572753906,0.18946151304922365,0.0,0.6349999904632568,573.0,5,1.6094379124341003,3.0,PSDB,0.0,0.0,0.0,0.0,high,lowest
BARCARENA,4251.0,PA,PPS,1.0,Other,"More than Primary, Less than Superior",1970.0,456,0.0,98319.0,2054.0,0.94,0.0,-1.5072222222222222,-51.21611111111111,1.0,0.0,11.495972573317566,0.2965918895599655,0.5176876617773943,2008.0,11.350418300109132,0.609000027179718,0.21711330512458862,175.26300048828125,0.0,0.17610913112940887,0.7680000066757202,1181.0,5,1.6094379124341003,2.0,PPS,0.0,0.0,0.0,0.0,high,lowest
BELÉM,4278.0,PA,PDT,0.0,White collar,Some Superior or More,1975.0,244,0.0,1110114.0,37029.0,0.34,0.0,-1.1638888888888888,-48.471944444444446,0.0,0.0,13.919973270717659,0.0,4.418945976063854,2008.0,0.0,0.6510000228881836,0.2795726185709857,313.927001953125,0.12159312738886456,0.33771872819342846,0.8059999942779541,1342.0,11,2.3978952727983707,3.0,PDT,0.0,0.0,0.0,0.0,high,lowest
BENEVIDES,4294.0,PA,PRTB,1.0,Blue collar,Less than Primary,1953.0,362,1.0,70116.0,3001.0,1.49,0.0,-1.285,-48.32138888888889,1.0,0.0,11.157906292342437,1.0486532524220165,2.416693282231449,2008.0,0.0,0.5899999737739563,0.21693404634581104,137.7949981689453,0.5393143533717238,0.06689629191109198,0.7110000252723694,1981.0,3,1.0986122886681098,1.0,minor party,0.0,0.0,0.0,0.0,medium,lowest
BENEVIDES,4294.0,PA,PFL,1.0,Other,Less than Primary,1953.0,197,0.0,18786.0,2515.0,1.0486532524220165,0.0,-1.285,-48.32138888888889,0.0,0.0,9.84086719055446,0.0,0.0,2004.0,0.0,0.5899999737739563,0.21693404634581104,137.7949981689453,0.5393143533717238,0.06689629191109198,0.7110000252723694,1981.0,3,1.0986122886681098,1.0,PFL,0.0,0.0,0.0,0.0,medium,lowest
BONITO,4316.0,PA,PV,1.0,Other,Less than Primary,1950.0,48,0.0,6751.0,878.0,0.7110057769219376,0.0,-1.3622222222222222,-47.30638888888888,0.0,0.0,8.81744592104187,0.0,0.0,2004.0,0.0,0.5049999952316284,0.04299385802028282,82.3010025024414,0.0,0.0,0.6119999885559082,2853.0,1,0.0,1.0,PV,0.0,0.0,0.0,0.0,low,low
BRAGANÇA,4332.0,PA,PTB,1.0,White collar,"More than Primary, Less than Superior",1957.0,1221,1.0,138197.0,9682.0,2.9,0.0,-1.0572222222222223,-46.76583333333333,0.0,0.0,11.836435482410048,0.0,8.733781835655934,2008.0,11.289794413577894,0.5669999718666077,0.09026823720186482,105.27899932861328,0.0,0.05315582047410835,0.6620000004768372,1342.0,3,1.0986122886681098,2.0,PTB,0.0,0.0,0.0,0.0,medium,lowest
BREU BRANCO,4448.0,PA,PT,1.0,Agriculture,Less than Primary,1956.0,379,1.0,15465.0,2981.0,2.4506951180084062,0.0,-3.7752777777777777,-49.566111111111105,0.0,0.0,9.64633468511917,0.0,0.0,2004.0,0.0,0.6150000095367432,0.0870712401055409,132.3179931640625,0.6501841495021143,0.0,0.6650000214576721,1981.0,2,0.6931471805599453,1.0,PT,0.0,0.0,0.0,0.0,medium,lowest
BUJARU,4375.0,PA,PTB,1.0,Education,"More than Primary, Less than Superior",1973.0,192,0.0,35998.0,2031.0,1.5,0.0,-1.5186111111111111,-48.04472222222222,1.0,0.0,10.491218660339424,1.399765074393109,16.59162098668755,2008.0,8.517393171418904,0.5210000276565552,0.13115687577109233,70.53700256347656,0.46602500822639026,0.0,0.6589999794960022,1981.0,1,0.0,2.0,PTB,0.0,0.0,0.0,0.0,low,lowest
BUJARU,4375.0,PA,PT,1.0,Other,"More than Primary, Less than Superior",1973.0,143,0.0,10216.0,1957.0,1.399765074393109,0.0,-1.5186111111111111,-48.04472222222222,0.0,0.0,9.231710397712375,0.0,5.517330910035051,2004.0,0.0,0.5210000276565552,0.13115687577109233,70.53700256347656,0.46602500822639026,0.0,0.6589999794960022,1981.0,1,0.0,2.0,PT,0.0,0.0,0.0,0.0,low,lowest
CAPITAO POCO,4456.0,PA,PT,1.0,Agriculture,Less than Primary,1963.0,978,1.0,21575.0,4124.0,4.533024333719583,0.0,-1.7575,-47.075,1.0,0.0,9.979290515951629,4.148511813439706,6.603252531451365,2004.0,0.0,0.6499999761581421,0.051805148387614956,92.98100280761719,0.0,0.039567309669724014,0.6150000095367432,3003.0,3,1.0986122886681098,1.0,PT,0.0,0.0,0.0,0.0,medium,low
CONCEICAO DO ARAGUAIA,4537.0,PA,PT,0.0,Blue collar,"More than Primary, Less than Superior",1961.0,130,0.0,18846.0,4704.0,0.6898015494004033,0.0,-8.232222222222223,-49.25833333333333,0.0,0.0,9.844055968766702,0.0,13.360898543569489,2004.0,0.0,0.6299999952316284,0.10576295759333092,152.9810028076172,0.0,0.07599810849152198,0.7179999947547913,3003.0,3,1.0986122886681098,2.0,PT,0.0,0.0,0.0,0.0,medium,low
CONCEIÇÃO DO ARAGUAIA,4537.0,PA,PT,0.0,Government,"More than Primary, Less than Superior",1961.0,270,0.0,39227.0,4906.0,1.21,0.0,-8.232222222222223,-49.25833333333333,1.0,0.0,10.577120564191771,0.6898015494004033,23.156107396795075,2008.0,9.90353755128617,0.6299999952316284,0.10576295759333092,152.9810028076172,0.0,0.07599810849152198,0.7179999947547913,3003.0,3,1.0986122886681098,2.0,PT,0.0,0.0,0.0,0.0,medium,low
